Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate)
Afghanistan,AFG,1990,21.33,159.96,101.41,1021.49,9.37,407.23,43.62
Afghanistan,AFG,1991,18.7,158.46,93.71,1013.76,9.46,404.51,40.53
Afghanistan,AFG,1992,16.8,157.39,84.01,1007.83,9.74,402.69,37.17
Afghanistan,AFG,1993,16.53,157.57,79.04,1006.57,9.83,404.42,35.72
Afghanistan,AFG,1994,16.53,158.03,77.17,1006.36,9.56,407.33,35.46
Afghanistan,AFG,1995,16.02,157.98,74.93,1004.67,9.24,408.56,35.01
Afghanistan,AFG,1996,15.85,158,73.14,1003.02,9.1,409.78,35.04
Afghanistan,AFG,1997,16.09,158.18,71.91,1002.22,9.13,411.52,35.23
Afghanistan,AFG,1998,15.88,158.33,71.46,1002.61,8.92,413.6,35.58
Afghanistan,AFG,1999,15.58,158.95,71.84,1005.13,8.69,416.62,36.33
Afghanistan,AFG,2000,15.16,160.06,71.82,1011.18,8.55,424.36,37.73
Afghanistan,AFG,2001,14.53,161.33,70.71,1019.65,8.61,427.65,37.99
Afghanistan,AFG,2002,13.41,159.8,67.12,1021.31,8.61,422.26,36.35
Afghanistan,AFG,2003,15.38,160.31,66.4,1023.72,10.13,421.72,36.6
Afghanistan,AFG,2004,15.68,160.71,65.51,1026.69,10.54,422.8,37.24
Afghanistan,AFG,2005,14.99,160.12,63.92,1027.1,10.4,420.19,37.37
Afghanistan,AFG,2006,14.47,159.35,63.18,1026.24,10.15,419.91,37.85
Afghanistan,AFG,2007,13.72,158.48,62.02,1026.04,9.89,419.41,37.98
Afghanistan,AFG,2008,12.33,157.78,60.65,1027.17,9.34,419.43,38.24
Afghanistan,AFG,2009,11.39,156.94,59.51,1028.73,8.96,418.55,38.44
Afghanistan,AFG,2010,11.19,156.37,58.43,1030.69,8.98,413.33,38.63
Afghanistan,AFG,2011,10.65,155.62,57.53,1032.18,8.78,408.87,38.82
Afghanistan,AFG,2012,10.17,155.09,56.86,1033.34,8.59,403.36,38.99
Afghanistan,AFG,2013,10.66,154.51,56.45,1033.23,8.85,395.31,38.91
Afghanistan,AFG,2014,10.62,154.32,56.37,1036.68,8.77,386.58,39.06
Afghanistan,AFG,2015,10.27,154.06,56.21,1040.16,8.62,374.14,39.22
Afghanistan,AFG,2016,10.16,153.93,56.05,1043.84,8.56,364.25,39.02
Afghanistan,AFG,2017,9.8,154.04,56,1049.52,8.42,354.41,38.74
Afghanistan,AFG,2018,9.21,153.9,55.76,1053.12,8.11,344.7,38.11
Afghanistan,AFG,2019,9.34,153.3,55.51,1049.47,8.08,334.5,37.26
African Region (WHO),,1990,19.54,107.28,49.19,748.9,4.02,259.75,21.42
African Region (WHO),,1991,19.14,107.52,49.14,751.46,4,260.59,21.43
African Region (WHO),,1992,18.86,108.34,49.36,758.59,4.02,262.01,21.61
African Region (WHO),,1993,18.37,108.03,48.98,761.19,4,260.97,21.26
African Region (WHO),,1994,17.73,108.68,48.96,768.53,3.97,262.45,21.26
African Region (WHO),,1995,17.06,108.93,48.72,773.89,3.9,264.27,21.04
African Region (WHO),,1996,16.27,109.69,48.65,783.63,3.86,266.88,20.84
African Region (WHO),,1997,15.68,111.18,48.98,796.86,3.83,270.93,21.04
African Region (WHO),,1998,15.24,111.5,48.89,801.89,3.84,271.59,21.1
African Region (WHO),,1999,14.9,110.79,48.39,800.6,3.84,269.02,21
African Region (WHO),,2000,14.47,110.86,48.17,807.45,3.83,267.16,21.03
African Region (WHO),,2001,14.06,109.94,47.57,804.33,3.78,263.52,20.69
African Region (WHO),,2002,13.9,110.02,47.41,811.84,3.8,261.18,20.56
African Region (WHO),,2003,13.67,110.08,47.34,812.44,3.8,260.76,20.58
African Region (WHO),,2004,13.52,110.1,47.23,815.4,3.81,259.61,20.5
African Region (WHO),,2005,13.52,109.9,47.02,817.89,3.82,257.53,20.27
African Region (WHO),,2006,13.58,110.1,47,825.79,3.87,256.11,20.08
African Region (WHO),,2007,13.44,109.52,46.7,822.57,3.88,254.52,19.8
African Region (WHO),,2008,13,109.63,46.62,829.84,3.85,253.04,19.64
African Region (WHO),,2009,12.67,109.98,46.72,834.79,3.83,253.28,19.61
African Region (WHO),,2010,12.41,110.4,46.87,841.16,3.81,253.15,19.58
African Region (WHO),,2011,12.31,110.64,47.02,846,3.8,253.28,19.51
African Region (WHO),,2012,12.22,110.86,47.25,848.8,3.79,253.44,19.56
African Region (WHO),,2013,12.13,111.03,47.52,850.75,3.79,253.45,19.69
African Region (WHO),,2014,12,110.97,47.77,847.53,3.81,253.99,19.82
African Region (WHO),,2015,11.77,110.91,47.91,853.58,3.8,252.69,19.72
African Region (WHO),,2016,11.45,110.49,48.03,851.09,3.79,252.41,19.7
African Region (WHO),,2017,11.02,110.27,48.21,853.22,3.78,251.45,19.73
African Region (WHO),,2018,10.7,109.88,48.37,853.92,3.74,249.11,19.9
African Region (WHO),,2019,10.31,109.47,48.53,853.62,3.66,247.58,19.95
Albania,ALB,1990,11.07,125.46,79.02,948.17,6.99,302.98,24.82
Albania,ALB,1991,12.21,125.92,80.96,941.07,7.32,303.45,26.23
Albania,ALB,1992,12.09,120.53,78.95,908.88,7.1,289.16,25.36
Albania,ALB,1993,11.95,115.37,77.15,881.29,6.92,275.98,24.23
Albania,ALB,1994,11.54,108.67,74.41,839.12,6.69,259.06,22.96
Albania,ALB,1995,10.8,111.14,78.25,858.15,6.62,268.41,23.76
Albania,ALB,1996,10.17,114.31,82.82,883.77,6.66,279.3,24.55
Albania,ALB,1997,9.34,115.22,83.93,892.04,6.82,282.2,24.99
Albania,ALB,1998,8.78,115.17,84.62,891.25,7.03,280.83,25.58
Albania,ALB,1999,8.83,115.91,90.73,897.78,7.13,280.96,26.97
Albania,ALB,2000,8.82,115.71,96.29,895.53,7.43,278.62,28.37
Albania,ALB,2001,8.56,111.95,96.47,871.7,7.47,266.82,27.75
Albania,ALB,2002,8.47,114.59,102.2,895.71,7.8,271.47,28.73
Albania,ALB,2003,8.52,118.99,109.68,931.59,8.56,280.6,30.13
Albania,ALB,2004,8.56,118.96,113.32,930.36,9.26,278.4,30.73
Albania,ALB,2005,8.76,116.62,114.77,908.04,9.55,269.06,31.27
Albania,ALB,2006,8.99,111.55,113.52,868.37,9.39,254.44,30.17
Albania,ALB,2007,9.08,107.51,113.37,838.18,8.7,244.04,28.88
Albania,ALB,2008,9.49,108.27,118.31,839.48,8.48,245.16,29.38
Albania,ALB,2009,9.88,107.33,121.29,834.33,8.21,240.04,29.23
Albania,ALB,2010,10.12,107.2,125.25,839.89,7.72,238.2,28.74
Albania,ALB,2011,10.77,108.54,130.99,854.82,7.91,240.74,28.71
Albania,ALB,2012,11.15,108.86,135.68,862.74,7.76,241.5,28.61
Albania,ALB,2013,11.56,109.51,141.21,875.07,7.65,243.31,28.62
Albania,ALB,2014,11.86,111.33,148.38,899.05,7.71,248.16,28.69
Albania,ALB,2015,11.97,113.32,155.24,923.61,7.78,253.61,28.79
Albania,ALB,2016,11.85,113.5,159.73,929.52,7.69,256.34,28.75
Albania,ALB,2017,11.57,113.48,164.29,932.42,7.6,258.53,28.75
Albania,ALB,2018,11.1,113.36,168.69,934.1,7.47,260.62,28.73
Albania,ALB,2019,10.74,113.27,172.95,935.52,7.36,262.97,28.69
Algeria,DZA,1990,4.88,90.59,41.81,599.44,7.66,181.38,19.27
Algeria,DZA,1991,4.76,89.63,42.07,602.97,7.11,186.14,18.79
Algeria,DZA,1992,4.64,88.18,41.9,602.19,6.83,185.17,18.52
Algeria,DZA,1993,4.52,86.98,41.82,605.07,6.6,184.47,18.35
Algeria,DZA,1994,4.39,86,41.77,606.64,6.36,183.14,18.34
Algeria,DZA,1995,4.27,84.99,41.74,607.58,6.22,182.36,18.34
Algeria,DZA,1996,4.17,83.57,41.51,605.19,6.09,180.14,18.25
Algeria,DZA,1997,4.35,82.13,41.32,599.43,6.08,176.91,18.11
Algeria,DZA,1998,4.36,80.48,41.05,593.41,5.98,173.07,17.85
Algeria,DZA,1999,4.34,79.86,41.37,590.02,5.89,171.21,17.85
Algeria,DZA,2000,4.36,79.04,41.58,582.31,5.8,168.87,17.74
Algeria,DZA,2001,4.38,78.21,41.76,575.69,5.68,165.52,17.51
Algeria,DZA,2002,4.28,77.75,42.18,571.69,5.52,163.37,17.38
Algeria,DZA,2003,4.26,77.39,42.69,564.21,5.27,163.85,17.08
Algeria,DZA,2004,4.32,77.61,43.6,564.76,5.18,163.7,17.1
Algeria,DZA,2005,4.25,77.89,44.56,566.2,5.07,163.47,17.14
Algeria,DZA,2006,4.15,77.8,45.31,566.75,4.97,161.93,17.11
Algeria,DZA,2007,4.05,77.93,46.2,570.65,4.88,161.21,17.09
Algeria,DZA,2008,3.94,78.09,47.11,574.92,4.8,160.98,17.14
Algeria,DZA,2009,3.75,78.32,48.12,580.73,4.69,161.11,17.23
Algeria,DZA,2010,3.66,78.08,48.86,583.07,4.65,159.48,17.36
Algeria,DZA,2011,3.55,77.64,49.5,583.18,4.55,158.06,17.47
Algeria,DZA,2012,3.44,77.15,50.17,583.91,4.46,156.76,17.56
Algeria,DZA,2013,3.39,76.53,50.82,585.69,4.53,154.29,17.73
Algeria,DZA,2014,3.35,76.21,51.63,588.38,4.49,153.55,17.86
Algeria,DZA,2015,3.3,76.04,52.5,591.5,4.33,154.24,17.92
Algeria,DZA,2016,3.22,75.6,53.27,593.11,4.13,155.05,17.91
Algeria,DZA,2017,3.05,75.47,54.31,597.28,4.01,155.83,18.1
Algeria,DZA,2018,2.99,75.73,55.66,604.63,4.09,155.7,18.54
Algeria,DZA,2019,2.93,75.85,56.91,605.93,4.02,156.18,18.78
