Entity,Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate)
Afghanistan,1023.7906666666667,402.733,37.74133333333334,9.132666666666667,13.748
African Region (WHO),814.2516666666667,258.52399999999994,20.397333333333336,3.844,14.164666666666669
Albania,891.3850000000001,265.1653333333333,27.705666666666673,7.692666666666667,10.28666666666667
Algeria,588.2176666666668,166.5713333333333,17.847333333333335,5.331333333333334,3.976666666666666
American Samoa,1205.198666666667,313.9036666666667,31.479333333333336,2.7316666666666665,3.9483333333333324
Andorra,1593.11,384.3736666666666,36.958999999999996,3.645666666666668,6.275333333333332
Angola,788.2533333333332,282.8326666666666,21.981999999999996,4.202999999999999,13.679333333333334
Antigua and Barbuda,1381.7089999999998,292.0186666666666,23.713333333333328,4.169,6.201999999999999
Argentina,1374.869,426.8063333333334,35.001999999999995,5.2316666666666665,5.851666666666666
Armenia,986.0896666666667,425.9853333333334,39.55533333333334,7.375000000000002,9.004666666666667
Australia,1328.724,325.30066666666664,25.899,3.091666666666666,3.7899999999999996
Austria,1319.0376666666666,365.8146666666667,28.966666666666676,2.8816666666666677,3.206
Azerbaijan,814.1286666666668,361.11233333333337,37.52133333333333,11.132000000000003,8.602
Bahamas,1232.6033333333332,356.21899999999994,41.21966666666667,4.239666666666667,5.161333333333332
Bahrain,1256.3673333333331,228.49133333333333,17.139000000000003,3.870333333333333,2.895333333333333
Bangladesh,585.846,227.74300000000002,21.23466666666667,7.205666666666668,8.834666666666665
Barbados,1504.1813333333332,349.807,38.78,4.959999999999999,5.379333333333334
Belarus,920.1893333333331,472.66333333333324,44.47433333333334,5.245333333333332,8.657
Belgium,1516.16,408.2426666666667,31.13533333333335,3.0660000000000003,3.6286666666666667
Belize,898.3426666666668,246.08233333333334,23.148999999999997,4.109666666666667,6.219666666666667
Benin,820.034333333333,241.5133333333333,17.343,3.839,12.196
Bermuda,1509.3793333333338,342.2383333333334,30.983333333333334,3.662333333333333,6.129666666666667
Bhutan,587.3849999999999,197.71233333333333,17.198666666666668,3.205,11.044333333333332
Bolivia,1362.5860000000002,367.63266666666664,29.246,7.966999999999999,12.998333333333335
Bosnia and Herzegovina,1167.1286666666667,436.84,35.099333333333334,3.879666666666666,4.506
Botswana,1150.3120000000001,418.79166666666663,29.03766666666667,2.6270000000000007,2.3553333333333337
Brazil,972.5893333333335,304.80366666666663,28.329666666666665,6.090000000000002,9.668
Brunei,1689.026333333333,372.5220000000001,35.50233333333334,5.656666666666667,6.425666666666666
Bulgaria,902.0153333333334,437.2856666666666,47.39833333333333,5.222333333333332,7.323000000000001
Burkina Faso,772.5453333333332,220.543,17.706666666666667,3.336666666666667,12.516333333333334
Burundi,799.9986666666667,320.23966666666666,27.146333333333327,4.456000000000001,18.236666666666668
Cambodia,836.6623333333334,306.5050000000001,27.794666666666668,7.949333333333333,14.243333333333332
Cameroon,889.6743333333335,274.95933333333335,20.115666666666673,4.163666666666667,6.731333333333334
Canada,1370.8393333333331,351.75100000000003,26.89033333333333,3.1159999999999997,3.6363333333333334
Cape Verde,1181.3383333333331,280.4946666666666,24.412666666666667,3.9939999999999993,8.005999999999998
Central African Republic,770.8453333333333,363.90700000000004,27.16133333333333,4.119,11.941
Chad,778.9480000000001,242.91100000000003,17.175333333333334,3.6746666666666674,9.581
Chile,1367.6693333333335,318.8276666666667,25.82266666666666,4.596666666666667,4.792666666666666
China,1226.272,389.9676666666666,39.96766666666666,6.608333333333334,12.984000000000004
Colombia,920.2806666666664,242.5696666666667,24.216999999999995,6.611666666666666,7.506666666666667
Comoros,817.8693333333337,286.9803333333332,23.858333333333334,3.8896666666666664,14.050333333333331
Congo,940.3943333333333,361.8393333333334,28.080333333333332,3.4806666666666666,7.3133333333333335
Cook Islands,1244.0859999999998,297.277,28.117333333333338,2.003,2.6706666666666674
Costa Rica,1136.0253333333333,251.55699999999996,24.521,4.73,4.702000000000001
Cote d'Ivoire,899.3933333333334,259.15766666666667,18.866999999999997,3.9643333333333337,8.491
Croatia,1352.5786666666668,477.33733333333345,38.406,3.6460000000000004,4.8660000000000005
Cuba,1233.6149999999996,336.1166666666666,31.074000000000012,5.005333333333334,6.098
Cyprus,1147.1946666666665,263.967,18.404333333333334,3.0306666666666664,3.067333333333333
Czechia,1431.531,486.7230000000001,35.00266666666667,3.671666666666666,4.5969999999999995
Democratic Republic of Congo,731.1056666666669,267.095,19.461,3.426,9.470666666666666
Denmark,1676.206,451.25733333333335,31.56233333333334,3.288666666666667,4.072666666666667
Djibouti,850.857,286.58600000000007,23.100999999999996,4.0956666666666655,19.921
Dominica,1845.7573333333337,402.5763333333333,42.04266666666667,7.001666666666666,9.188999999999998
Dominican Republic,894.0393333333335,217.44033333333337,22.90666666666667,4.877666666666668,7.708666666666665
East Asia & Pacific (WB),1163.8433333333335,359.00533333333334,36.29333333333334,6.088999999999999,10.562333333333331
Eastern Mediterranean Region (WHO),745.6653333333333,268.129,24.95966666666666,6.315666666666666,9.276666666666666
Ecuador,1065.368333333333,231.9063333333333,25.848000000000003,7.291999999999999,6.320666666666667
Egypt,555.244,230.38233333333335,19.205666666666666,5.076333333333334,6.025333333333333
El Salvador,768.8103333333332,219.4613333333333,23.646333333333338,5.268666666666666,5.3916666666666675
England,1577.656,371.8066666666666,27.507999999999996,3.1869999999999994,3.520333333333332
Equatorial Guinea,849.9116666666666,280.1293333333333,19.37166666666667,3.439333333333332,7.228333333333334
